g,z,tech,fuel,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,DescreteCap,HeatRate,Capex,FOMperMW,VOM,ReserveCost,MinLimitShare,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,MinGenCommitment,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,fuel2,HeatRate2,Unnamed: 31,MaxTotalBuild,MinUtilization,RETech
Sigu011,Burundi,ROR,Water,3,2027,2055,50.0,12.0,0.0,12.1,0.0,0.0,2.8,40000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,12.1,0.0,0.0
Waga_(Kanka),Burundi,ROR,Water,3,2027,2055,50.0,1.0,0.0,0.8,0.0,0.0,2.8,40000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,0.8,0.0,0.0
Centrale_tourbe_(Kayanza),Burundi,ST,Peat,3,2027,2055,30.0,15.0,0.0,15.0,0.0,9.4,2.0,60000.0,2.0,0.0,0.0,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,15.0,0.4,0.0
Jiji,Burundi,ROR,Water,3,2027,2055,50.0,33.0,0.0,32.5,0.0,0.0,2.8,40000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,32.5,0.05,0.0
Ruvyi102_(Ruvyironza),Burundi,ReservoirHydro,Water,3,2027,2055,50.0,2.0,0.0,1.65,0.0,0.0,3.3,50000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,1.65,0.0,0.0
Centrale_thermique_(Dechets_Municipaux),Burundi,ST,Waste,3,2028,2055,30.0,15.0,0.0,15.0,0.0,12.5,2.0,100000.0,2.5,0.0,0.0,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,15.0,0.05,0.0
Gikuka_(KIKU002),Burundi,ReservoirHydro,Water,3,2030,2055,50.0,3.0,0.0,2.53,0.0,0.0,3.3,50000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,2.53,0.0,0.0
CTH_30,Burundi,ICE,Diesel,1,2022,2055,30.0,20.0,0.0,0.0,0.0,10.42,0.0,8000.0,6.4,0.0,0.0,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
Rwegura,Burundi,ReservoirHydro,Water,1,2022,2055,50.0,18.0,0.0,0.0,0.0,0.0,3.3,50000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,0.0,0.0,0.0
RUZB_007,Burundi,ReservoirHydro,Water,1,2022,2055,50.0,15.0,0.0,0.0,0.0,0.0,3.3,50000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,0.0,0.05,0.0
Ruzizi_II,Burundi,ROR,Water,1,2022,2055,50.0,12.0,0.0,0.0,0.0,0.0,2.8,40000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,0.0,0.0,0.0
CTH_10,Burundi,ICE,Diesel,1,2022,2055,30.0,10.0,0.0,0.0,0.0,10.42,0.0,8000.0,6.4,0.0,0.0,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
Mubuga,Burundi,PV,Solar,1,2022,2055,25.0,9.0,0.0,0.0,0.0,0.0,0.8,15000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,1.0
Kayenzi,Burundi,ROR,Water,1,2022,2055,50.0,0.8,0.0,0.0,0.0,0.0,2.8,40000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,0.0,0.0,0.0
Mugere,Burundi,ROR,Water,1,2022,2055,50.0,8.0,0.0,0.0,0.0,0.0,2.8,40000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,0.0,0.0,0.0
CTH_5,Burundi,ICE,Diesel,1,2022,2055,30.0,18.0,0.0,0.0,0.0,10.42,0.0,8000.0,6.4,0.0,0.0,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
Ruzizi_I,Burundi,ROR,Water,1,2022,2055,50.0,4.0,0.0,0.0,0.0,0.0,2.8,40000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,0.0,0.06,0.0
Nyemanga,Burundi,ROR,Water,1,2022,2055,50.0,3.0,0.0,0.0,0.0,0.0,2.8,40000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,0.0,0.0,0.0
Gikonge,Burundi,ROR,Water,1,2022,2055,50.0,1.0,0.0,0.0,0.0,0.0,2.8,40000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,0.0,0.0,0.0
Ruvyironza,Burundi,ReservoirHydro,Water,1,2022,2055,50.0,1.0,0.0,0.0,0.0,0.0,3.3,50000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,0.0,0.0,0.0
Buhiga,Burundi,ROR,Water,1,2022,2055,50.0,0.5,0.0,0.0,0.0,0.0,2.8,40000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,0.0,0.0,0.0
BMST_GENC_BUR,Burundi,BiomassPlant,Biomass,3,2027,2057,,50.0,,50.0,,,,,,,,,,,,,,,,,,,,,,100.0,,
NGCC_GENC_BUR,Burundi,CCGT,Gas,3,2028,2058,,0.0,,100.0,,,,,,,,,,,,,,,,,,,,,,10000.0,,
COSC_GENC_BUR,Burundi,ST,Peat,3,2029,2059,,10000.0,,50.0,,,,,,,,,,,,,,,,,,,,,,10000.0,,
NGSC_GENC_BUR,Burundi,OCGT,Gas,3,2027,2057,,0.0,,50.0,,,,,,,,,,,,,,,,,,,,,,10000.0,,
DSRC_GENC_BUR,Burundi,ICE,Diesel,3,2027,2057,,10000.0,,50.0,,,,,,,,,,,,,,,,,,,,,,10000.0,,
HFRC_GENC_BUR,Burundi,ICE,HFO,3,2027,2057,,10000.0,,50.0,,,,,,,,,,,,,,,,,,,,,,10000.0,,
SOPC_GENC_BUR,Burundi,PV,Solar,3,2027,2052,,200.0,,50.0,,,,,,,,,,,,,,,,,,,,,,4000.0,,
HYRO_GENC_BUR,Burundi,ROR,Water,3,2027,2077,,150.0,,0.0,,,,,,,,,,,,,,,,,,,,,,150.0,,
HYDM_GENC_BUR,Burundi,ReservoirHydro,Water,3,2030,2081,,150.0,,50.0,,,,,,,,,,,,,,,,,,,,,,150.0,,
WDLC_GENC_BUR,Burundi,OnshoreWind,Wind,3,2027,2057,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,
Marangara,Burundi,ROR,Water,1,2022,2055,50.0,0.2,0.0,0.0,0.0,0.0,2.8,40000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,0.0,0.0,0.0
Akuo,Djibouti,PV,Solar,2,2026,2056,30.0,50.0,0.0,30.0,0.0,0.0,0.8,0.0,65.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,0.0,,30.0,0.0,1.0
Battery_5MW_DJI,Djibouti,Storage,Battery,2,2026,2046,20.0,5.0,0.0,5.0,0.0,0.0,0.3,40000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,,,,,,,,,0.0,,5.0,0.0,0.0
HFO_Project_01_DJI,Djibouti,ICE,HFO,2,2027,2057,30.0,20.0,0.0,20.0,0.0,10.42,1.09,33000.0,6.4,0.0,0.0,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,20.0,0.0,0.0
HFO_Project_02_DJI,Djibouti,ICE,HFO,2,2028,2058,30.0,20.0,0.0,20.0,0.0,10.42,1.09,33000.0,6.4,0.0,0.0,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,20.0,0.0,0.0
HFO_Project_03_DJI,Djibouti,ICE,HFO,2,2030,2060,30.0,20.0,0.0,20.0,0.0,10.42,1.09,33000.0,6.4,0.0,0.0,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,20.0,0.0,0.0
HFO_Project_04_DJI,Djibouti,ICE,HFO,2,2032,2062,30.0,20.0,0.0,20.0,0.0,10.42,1.09,33000.0,6.4,0.0,0.0,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,20.0,0.0,0.0
HFO_Project_05_DJI,Djibouti,ICE,HFO,2,2034,2064,30.0,20.0,0.0,20.0,0.0,10.42,1.09,33000.0,6.4,0.0,0.0,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,20.0,0.0,0.0
CCGT,Djibouti,CCGT,Gas,3,2035,2065,30.0,200.0,0.0,200.0,0.0,6.6,1.3,23200.0,10.0,0.0,0.3,1.0,1.0,0.0,0.07,,,,,,,,,0.0,,200.0,0.0,0.0
PolyGCL1,Djibouti,CCGT,Gas,3,2030,2060,30.0,70.0,0.0,70.0,0.0,6.6,1.3,23200.0,10.0,0.0,0.3,1.0,1.0,0.0,0.07,,,,,,,,,0.0,,70.0,0.0,0.0
Geoth,Djibouti,Geothermal,Geothermal,3,2024,2054,30.0,3.0,0.0,15.0,0.0,0.0,3.0,0.0,85.0,0.0,0.0,1.0,1.0,0.0,0.05,,,,,,,,,0.0,,15.0,0.0,0.0
Centrale_bifuel1,Djibouti,OCGT,Gas,3,2031,2061,30.0,50.0,0.0,50.0,0.0,7.8,0.8,16000.0,26.0,0.0,0.2,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,50.0,0.0,0.0
Centrale_bifuel2,Djibouti,OCGT,Gas,3,2033,2063,30.0,50.0,0.0,50.0,0.0,7.8,0.8,16000.0,26.0,0.0,0.2,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,50.0,0.0,0.0
Centrale_bifuel3,Djibouti,OCGT,Gas,3,2035,2065,30.0,300.0,0.0,300.0,0.0,7.8,0.8,16000.0,26.0,0.0,0.2,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,300.0,0.0,0.0
OCGT,Djibouti,OCGT,Gas,3,2035,2065,30.0,200.0,0.0,200.0,0.0,7.8,0.8,16000.0,26.0,0.0,0.2,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,200.0,0.0,0.0
Solar_2,Djibouti,PV,Solar,3,2035,2065,30.0,200.0,0.0,200.0,0.0,0.0,1.15,25000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,0.0,,200.0,0.25,1.0
Wind_2,Djibouti,OnshoreWind,Wind,3,2035,2065,30.0,500.0,0.0,500.0,0.0,0.0,1.68,48000.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,0.0,,500.0,0.0,1.0
Wind_on,Djibouti,OnshoreWind,Wind,1,2022,2052,30.0,60.0,0.0,60.0,0.0,0.0,1.3,0.0,75.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,0.0,,60.0,0.0,1.0
MaraboutG22,Djibouti,ICE,HFO,1,2010,2040,30.0,13.0,0.0,0.0,0.0,9.0,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
MaraboutG25,Djibouti,ICE,HFO,1,2010,2040,30.0,12.0,0.0,0.0,0.0,9.0,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
MaraboutG21,Djibouti,ICE,HFO,1,2010,2040,30.0,9.0,0.0,0.0,0.0,9.0,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
ICE_Aggregate_DJI,Djibouti,ICE,Diesel,1,2010,2040,30.0,8.4,0.0,0.0,0.0,10.28,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
MaraboutG23,Djibouti,ICE,HFO,1,2010,2035,25.0,7.0,0.0,0.0,0.0,9.0,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
HFO_Aggregate_DJI,Djibouti,ICE,HFO,1,1990,2020,30.0,6.0,0.0,0.0,0.0,9.0,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
MaraboutG12,Djibouti,ICE,HFO,1,2005,2035,30.0,6.0,0.0,0.0,0.0,9.0,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
MaraboutG17,Djibouti,ICE,HFO,1,2005,2035,30.0,6.0,0.0,0.0,0.0,9.0,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.25,0.0
MaraboutG18,Djibouti,ICE,HFO,1,2005,2035,30.0,6.0,0.0,0.0,0.0,9.0,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
Obock,Djibouti,ICE,Diesel,1,2010,2040,30.0,4.0,0.0,0.0,0.0,10.65,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
South,Djibouti,ICE,Diesel,1,2010,2040,30.0,4.0,0.0,0.0,0.0,15.06,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
MaraboutG13,Djibouti,ICE,HFO,1,1995,2025,30.0,4.0,0.0,0.0,0.0,9.0,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
MaraboutG14,Djibouti,ICE,HFO,1,1995,2025,30.0,4.0,0.0,0.0,0.0,9.0,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
MaraboutG15,Djibouti,ICE,HFO,1,1995,2025,30.0,4.0,0.0,0.0,0.0,9.0,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
MaraboutG16,Djibouti,ICE,HFO,1,1995,2025,30.0,4.0,0.0,0.0,0.0,9.0,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
MaraboutG24,Djibouti,ICE,HFO,1,1990,2020,30.0,4.0,0.0,0.0,0.0,9.0,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
MaraboutG31,Djibouti,ICE,HFO,1,2010,2040,30.0,4.0,0.0,0.0,0.0,9.0,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
MaraboutG32,Djibouti,ICE,HFO,1,2010,2040,30.0,4.0,0.0,0.0,0.0,9.0,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
Tadjourah,Djibouti,ICE,Diesel,1,2010,2040,30.0,3.0,0.0,0.0,0.0,12.12,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
MaraboutG01,Djibouti,ICE,HFO,1,1990,2020,30.0,3.0,0.0,0.0,0.0,9.0,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
BoulaosM01,Djibouti,ICE,Diesel,1,2010,2040,30.0,2.0,0.0,0.0,0.0,10.28,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
BoulaosM02,Djibouti,ICE,Diesel,1,2010,2040,30.0,2.0,0.0,0.0,0.0,10.28,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
BoulaosM03,Djibouti,ICE,Diesel,1,2010,2040,30.0,2.0,0.0,0.0,0.0,10.28,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
BoulaosM04,Djibouti,ICE,Diesel,1,2010,2040,30.0,2.0,0.0,0.0,0.0,10.28,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
BoulaosM05,Djibouti,ICE,Diesel,1,2010,2040,30.0,2.0,0.0,0.0,0.0,10.28,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.05,0.0
BoulaosM06,Djibouti,ICE,Diesel,1,2010,2040,30.0,2.0,0.0,0.0,0.0,10.28,0.0,8000.0,6.0,0.0,0.06,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.05,0.0
BMST_GENC_DJI,Djibouti,BiomassPlant,Biomass,3,2027,2057,30.0,3.0,0.0,3.0,0.0,15.0,2.5,100000.0,2.5,0.0,0.0,1.0,1.0,0.0,0.05,,,,,,,,,0.0,,3.0,0.0,0.0
NGCC_GENC_DJI,Djibouti,CCGT,Gas,3,2028,2058,30.0,0.0,0.0,0.0,0.0,7.7,1.01,30000.0,2.0,0.0,0.15,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
NGSC_GENC_DJI,Djibouti,OCGT,Gas,3,2027,2057,30.0,0.0,0.0,0.0,0.0,10.9,0.8,24000.0,4.0,0.0,0.0,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
DSRC_GENC_DJI,Djibouti,ICE,Diesel,3,2027,2057,30.0,10000.0,0.0,117.94,0.0,10.42,1.09,33000.0,6.4,0.0,0.0,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,10000.0,0.0,0.0
HFRC_GENC_DJI,Djibouti,ICE,HFO,3,2027,2057,30.0,10000.0,0.0,117.94,0.0,10.42,1.09,33000.0,6.4,0.0,0.0,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,10000.0,0.0,0.0
SOPC_GENC_DJI,Djibouti,PV,Solar,3,2027,2052,25.0,264.0,0.0,117.94,0.0,0.0,1.14,75540.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,0.0,,264.0,0.0,1.0
HYRO_GENC_DJI,Djibouti,ROR,Water,3,2027,2077,50.0,0.0,0.0,0.0,0.0,0.0,2.5,75000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,0.0,0.0,0.0
HYDM_GENC_DJI,Djibouti,ReservoirHydro,Water,3,2031,2081,50.0,0.0,0.0,0.0,0.0,0.0,3.0,90000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,0.0,0.0,0.0
Batt_GENC_DJI,Djibouti,Storage,Battery,3,2027,2047,20.0,10000.0,0.0,117.94,0.0,0.0,0.3,40000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,,,,,,,,,0.0,,10000.0,0.0,0.0
WDLC_GENC_DJI,Djibouti,OnshoreWind,Wind,3,2027,2057,30.0,824.0,0.0,16.48,0.0,0.0,1.31,35846.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,0.0,,824.0,0.0,1.0
OSWD_GENC_OffshoreWind_DJI,Djibouti,OffshoreWind,Wind,3,2027,2057,30.0,1187.0,0.0,117.94,0.0,0.0,3.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,1186.5,0.0,1.0
Lubero,Drc_E,ROR,Water,3,2021,2121,50.0,13.0,0.0,12.8,0.0,3.41,3.24,14930.0,2.66,0.0,0.0,0.0,0.0,0.0,0.4,,,,,,,,,0.0,,12.8,0.0,0.0
LungudiII,Drc_E,ROR,Water,3,2021,2121,50.0,4.0,0.0,4.0,0.0,3.41,6.0,14930.0,2.66,0.0,0.0,0.0,0.0,0.0,0.4,,,,,,,,,0.0,,4.0,0.05,0.0
Matebe,Drc_E,ROR,Water,3,2016,2116,50.0,12.0,0.0,12.0,0.0,3.41,2.73,14930.0,2.66,0.0,0.0,0.0,0.0,0.0,0.4,,,,,,,,,0.0,,12.0,0.5,0.0
Ruzizi_III_DRC,Drc_E,ROR,Water,3,2031,2121,50.0,45.0,0.0,45.0,0.0,3.41,3.02,14930.0,133.0,0.0,0.0,0.0,0.0,0.0,0.4,,,,,,,,,0.0,,45.0,0.05,0.0
VIRUNGATalyiaNord1TalyiaNord2Ivugha,Drc_E,ROR,Water,3,2020,2120,50.0,53.0,0.0,30.0,0.0,3.41,2.73,14930.0,2.66,0.0,0.0,0.0,0.0,0.0,0.4,,,,,,,,,0.0,,30.0,0.0,0.0
Ruzizi_II_DRCMutwanga,Drc_E,ROR,Water,1,2016,2116,50.0,30.0,0.0,0.0,0.0,3.41,0.0,14930.0,2.66,0.0,0.0,0.0,0.0,0.0,0.4,,,,,,,,,0.0,,0.0,0.0,0.0
Ruzizi_I_DRC,Drc_E,ROR,Water,1,1958,2058,50.0,10.0,0.0,0.0,0.0,3.41,0.0,33632.85,0.0,0.0,0.0,0.0,0.0,0.0,0.4,,,,,,,,,0.0,,0.0,0.0,0.0
BMST_GENC_DRE,Drc_E,BiomassPlant,Biomass,3,2027,2057,30.0,4101.0,0.0,200.0,0.0,15.0,2.5,100000.0,2.5,0.0,0.0,1.0,1.0,0.0,0.05,,,,,,,,,0.0,,4101.33,0.0,0.0
NGCC_GENC_DRE,Drc_E,CCGT,Gas,3,2028,2058,30.0,0.0,0.0,0.0,0.0,7.7,1.01,30000.0,2.0,0.0,0.15,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
COSC_GENC_DRE,Drc_E,ST,Coal,3,2029,2059,30.0,0.0,0.0,0.0,0.0,10.2,3.74,112000.0,2.0,0.0,0.0,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
NGSC_GENC_DRE,Drc_E,OCGT,Gas,3,2027,2057,30.0,0.0,0.0,0.0,0.0,10.9,0.8,24000.0,4.0,0.0,0.0,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,0.0,0.0,0.0
DSRC_GENC_DRE,Drc_E,ICE,Diesel,3,2027,2057,30.0,10000.0,0.0,200.0,0.0,10.42,1.09,33000.0,6.4,0.0,0.0,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,10000.0,0.0,0.0
HFRC_GENC_DRE,Drc_E,ICE,HFO,3,2027,2057,30.0,10000.0,0.0,200.0,0.0,10.42,1.09,33000.0,6.4,0.0,0.0,1.0,1.0,0.0,0.2,,,,,,,,,0.0,,10000.0,0.0,0.0
SOPC_GENC_DRE,Drc_E,PV,Solar,3,2027,2052,25.0,1493.0,0.0,200.0,0.0,0.0,1.14,75540.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,0.0,,1492.67,0.0,1.0
HYRO_GENC_DRE,Drc_E,ROR,Water,3,2027,2077,50.0,24.0,0.0,200.0,0.0,0.0,2.5,75000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,23.67,0.0,0.0
HYDM_GENC_DRE,Drc_E,ReservoirHydro,Water,3,2031,2081,50.0,7997.0,0.0,200.0,0.0,0.0,3.0,90000.0,0.5,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,7996.67,0.0,0.0
Batt_GENC_DRE,Drc_E,Storage,Battery,3,2027,2047,20.0,10000.0,0.0,200.0,0.0,0.0,0.3,40000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,,,,,,,,,0.0,,10000.0,0.0,0.0
WDLC_GENC_DRE,Drc_E,OnshoreWind,Wind,3,2027,2057,30.0,428.0,0.0,200.0,0.0,0.0,1.31,35846.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,0.0,,428.13,0.0,1.0
High-Dam_HY,Egypt,ReservoirHydro,Water,1,1967,2055,50.0,2100.0,0.0,0.0,0.0,0.0,0.0,56100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4,,,,,,,,,0.0,,0.0,0.0,0.0
Benban_PV,Egypt,PV,Solar,1,2019,2044,25.0,1465.0,0.0,0.0,0.0,0.0,0.0,14280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,1.0
Beni-Suef-1_CCGT,Egypt,CCGT,Gas,1,2017,2047,30.0,1200.0,0.0,0.0,0.0,6.7,0.0,30600.0,3.41,0.0,0.2,0.5,0.5,0.0,0.1,,,,,,,,,0.0,,0.0,0.05,0.0
Beni-Suef-2_CCGT,Egypt,CCGT,Gas,1,2017,2047,30.0,1200.0,0.0,0.0,0.0,6.7,0.0,30600.0,3.41,0.0,0.2,0.5,0.5,0.0,0.1,,,,,,,,,0.0,,0.0,0.05,0.0
