zone,tech,fuel,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life
Mozambique,ICE,HFO,0.06,,1,1,0,0.4,8000,6.4,0,,30
Namibia,ICE,HFO,0.06,,1,1,0,0.4,8000,6.4,0,,30
Tanzania,ICE,HFO,0.06,,0.16,0.16,0,0.2,13300,4.5,0,,30
Zambia,ICE,HFO,0.06,,1,1,0,0.4,8000,6.4,0,,30
Zimbabwe,ICE,HFO,0.06,,1,1,0,0.4,8000,6.4,0,,30
South_Africa,CCGT,Gas,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Angola,CCGT,Gas,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Botswana,CCGT,Gas,0.2,6.4,1,1,0,0.05,30000,2,0,,30
DRC,CCGT,Gas,0.2,6.4,1,1,0,0.05,30000,2,0,,30
DRC_South,CCGT,Gas,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Eswatini,CCGT,Gas,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Lesotho,CCGT,Gas,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Malawi,CCGT,Gas,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Mozambique,CCGT,Gas,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Namibia,CCGT,Gas,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Tanzania,CCGT,Gas,0.2,6.75,0.1,0.1,0,0.2,30000,4.5,0,1.2,30
Zambia,CCGT,Gas,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Zimbabwe,CCGT,Gas,0.2,6.4,1,1,0,0.05,30000,2,0,,30
South_Africa,OCGT,Gas,0.2,9,1,1,0,0.2,20000,4,0,,30
Angola,OCGT,Gas,0.2,9,1,1,0,0.2,20000,4,0,,30
Botswana,OCGT,Gas,0.2,9,1,1,0,0.2,20000,4,0,,30
DRC,OCGT,Gas,0.2,9,1,1,0,0.2,20000,4,0,,30
DRC_South,OCGT,Gas,0.2,9,1,1,0,0.2,20000,4,0,,30
Eswatini,OCGT,Gas,0.2,9,1,1,0,0.2,20000,4,0,,30
Lesotho,OCGT,Gas,0.2,9,1,1,0,0.2,20000,4,0,,30
Malawi,OCGT,Gas,0.2,9,1,1,0,0.2,20000,4,0,,30
Mozambique,OCGT,Gas,0.2,9,1,1,0,0.2,20000,4,0,,30
Namibia,OCGT,Gas,0.2,9,1,1,0,0.2,20000,4,0,,30
Tanzania,OCGT,Gas,0.2,9,0.2,0.2,0,0.2,20000,4.5,0,,30
Zambia,OCGT,Gas,0.2,9,1,1,0,0.2,20000,4,0,,30
Zimbabwe,OCGT,Gas,0.2,9,1,1,0,0.2,20000,4,0,,30
South_Africa,CCGT,LNG,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Angola,CCGT,LNG,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Botswana,CCGT,LNG,0.2,6.4,1,1,0,0.05,30000,2,0,,30
DRC,CCGT,LNG,0.2,6.4,1,1,0,0.05,30000,2,0,,30
DRC_South,CCGT,LNG,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Eswatini,CCGT,LNG,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Lesotho,CCGT,LNG,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Malawi,CCGT,LNG,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Mozambique,CCGT,LNG,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Namibia,CCGT,LNG,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Tanzania,CCGT,LNG,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Zambia,CCGT,LNG,0.2,6.4,1,1,0,0.05,30000,2,0,,30
Zimbabwe,CCGT,LNG,0.2,6.4,1,1,0,0.05,30000,2,0,,30
South_Africa,OCGT,LNG,0.2,9,1,1,0,0.2,20000,4,0,,30
Angola,OCGT,LNG,0.2,9,1,1,0,0.2,20000,4,0,,30
Botswana,OCGT,LNG,0.2,9,1,1,0,0.2,20000,4,0,,30
DRC,OCGT,LNG,0.2,9,1,1,0,0.2,20000,4,0,,30
DRC_South,OCGT,LNG,0.2,9,1,1,0,0.2,20000,4,0,,30
Eswatini,OCGT,LNG,0.2,9,1,1,0,0.2,20000,4,0,,30
Lesotho,OCGT,LNG,0.2,9,1,1,0,0.2,20000,4,0,,30
Malawi,OCGT,LNG,0.2,9,1,1,0,0.2,20000,4,0,,30
Mozambique,OCGT,LNG,0.2,9,1,1,0,0.2,20000,4,0,,30
Namibia,OCGT,LNG,0.2,9,1,1,0,0.2,20000,4,0,,30
Tanzania,OCGT,LNG,0.2,9,1,1,0,0.2,20000,4,0,,30
Zambia,OCGT,LNG,0.2,9,1,1,0,0.2,20000,4,0,,30
Zimbabwe,OCGT,LNG,0.2,9,1,1,0,0.2,20000,4,0,,30
South_Africa,ROR,Water,0,0,1,1,0,,46500,0.55,0,,30
Angola,ROR,Water,0,0,1,1,0,,46500,0.55,0,,30
Botswana,ROR,Water,0,0,1,1,0,,46500,0.55,0,,30
DRC,ROR,Water,0,0,1,1,0,,46500,0.55,0,,30
DRC_South,ROR,Water,0,0,1,1,0,,46500,0.55,0,,30
Eswatini,ROR,Water,0,0,1,1,0,,46500,0.55,0,,30
Lesotho,ROR,Water,0,0,1,1,0,,46500,0.55,0,,30
Malawi,ROR,Water,0,0,1,1,0,,46500,0.55,0,,30
Mozambique,ROR,Water,0,0,1,1,0,,46500,0.55,0,,30
Namibia,ROR,Water,0,0,1,1,0,,46500,0.55,0,,30
Tanzania,ROR,Water,0,0,1,1,0,,46500,0.55,0,,50
Zambia,ROR,Water,0,0,1,1,0,,46500,0.55,0,,30
Zimbabwe,ROR,Water,0,0,1,1,0,,46500,0.55,0,,30
South_Africa,ReservoirHydro,Water,0,0,1,1,0,,40000,0.55,0,,30
Angola,ReservoirHydro,Water,0,0,1,1,0,,40000,0.55,0,,30
Botswana,ReservoirHydro,Water,0,0,1,1,0,,40000,0.55,0,,30
DRC,ReservoirHydro,Water,0,0,1,1,0,,40000,0.55,0,,30
DRC_South,ReservoirHydro,Water,0,0,1,1,0,,40000,0.55,0,,30
Eswatini,ReservoirHydro,Water,0,0,1,1,0,,40000,0.55,0,,30
Lesotho,ReservoirHydro,Water,0,0,1,1,0,,40000,0.55,0,,30
Malawi,ReservoirHydro,Water,0,0,1,1,0,,40000,0.55,0,,30
Mozambique,ReservoirHydro,Water,0,0,1,1,0,,40000,0.55,0,,30
Namibia,ReservoirHydro,Water,0,0,1,1,0,,40000,0.55,0,,30
Tanzania,ReservoirHydro,Water,0,0,1,1,0,,40000,0.55,0,,30
Zambia,ReservoirHydro,Water,0,0,1,1,0,,40000,0.55,0,,30
Zimbabwe,ReservoirHydro,Water,0,0,1,1,0,,40000,0.55,0,,30
South_Africa,Storage,Battery,0,0,1,1,0,0.9,13860,0,0,0.2,20
Angola,Storage,Battery,0,0,1,1,0,0.9,13860,0,0,0.2,20
Botswana,Storage,Battery,0,0,1,1,0,0.9,13860,0,0,0.2,20
Eswatini,Storage,Battery,0,0,1,1,0,0.9,13860,0,0,0.2,20
DRC,Storage,Battery,0,0,1,1,0,0.9,13860,0,0,0.2,20
DRC_South,Storage,Battery,0,0,1,1,0,0.9,13860,0,0,0.2,20
Lesotho,Storage,Battery,0,0,1,1,0,0.9,13860,0,0,0.2,20
Malawi,Storage,Battery,0,0,1,1,0,0.9,13860,0,0,0.2,20
Mozambique,Storage,Battery,0,0,1,1,0,0.9,13860,0,0,0.2,20
Namibia,Storage,Battery,0,0,1,1,0,0.9,13860,0,0,0.2,20
Tanzania,Storage,Battery,0,0,1,1,0,0.9,13860,0,0,0.2,20
Zambia,Storage,Battery,0,0,1,1,0,0.9,13860,0,0,0.2,20
Zimbabwe,Storage,Battery,0,0,1,1,0,0.9,13860,0,0,0.2,20
South_Africa,ST,Biomass,0.3,,1,1,0,0.01,100000,3,0,,30
Angola,ST,Biomass,0.3,,1,1,0,0.01,100000,3,0,,30
Botswana,ST,Biomass,0.3,,1,1,0,0.01,100000,3,0,,30
DRC,ST,Biomass,0.3,,1,1,0,0.01,100000,3,0,,30
DRC_South,ST,Biomass,0.3,,1,1,0,0.01,100000,3,0,,30
Eswatini,ST,Biomass,0.3,,1,1,0,0.01,100000,3,0,,30
Lesotho,ST,Biomass,0.3,,1,1,0,0.01,100000,3,0,,30
Malawi,ST,Biomass,0.3,,1,1,0,0.01,100000,3,0,,30
Mozambique,ST,Biomass,0.3,,1,1,0,0.01,100000,3,0,,30
Namibia,ST,Biomass,0.3,,1,1,0,0.01,100000,3,0,,30
Tanzania,ST,Biomass,0.3,,1,1,0,0.2,48000,3,0,,30
Zambia,ST,Biomass,0.3,,1,1,0,0.01,100000,3,0,,30
Zimbabwe,ST,Biomass,0.3,,1,1,0,0.01,100000,3,0,,30
South_Africa,PV,Solar,,,1,1,0,0,15000,0,0,0.8,25
Angola,PV,Solar,,,1,1,0,0,15000,0,0,0.8,25
Botswana,PV,Solar,,,1,1,0,0,15000,0,0,0.8,25
DRC,PV,Solar,,,1,1,0,0,15000,0,0,0.8,25
DRC_South,PV,Solar,,,1,1,0,0,15000,0,0,0.8,25
Eswatini,PV,Solar,,,1,1,0,0,15000,0,0,0.8,25
Lesotho,PV,Solar,,,1,1,0,0,15000,0,0,0.8,25
Malawi,PV,Solar,,,1,1,0,0,15000,0,0,0.8,25
Mozambique,PV,Solar,,,1,1,0,0,15000,0,0,0.8,25
Namibia,PV,Solar,,,1,1,0,0,15120,0,0,0.8,25
Tanzania,PV,Solar,,,1,1,0,0,14000,0,0,0.8,25
Zambia,PV,Solar,,,1,1,0,0,15000,0,0,0.8,25
Zimbabwe,PV,Solar,,,1,1,0,0,15000,0,0,0.8,25
South_Africa,OnshoreWind,Wind,,,1,1,0,0,40000,0,0,1.3,30
Angola,OnshoreWind,Wind,,,1,1,0,0,40000,0,0,1.3,30
Botswana,OnshoreWind,Wind,,,1,1,0,0,40000,0,0,1.3,30
DRC,OnshoreWind,Wind,,,1,1,0,0,40000,0,0,1.3,30
DRC_South,OnshoreWind,Wind,,,1,1,0,0,40000,0,0,1.3,30
Eswatini,OnshoreWind,Wind,,,1,1,0,0,40000,0,0,1.3,30
Lesotho,OnshoreWind,Wind,,,1,1,0,0,40000,0,0,1.3,30
Malawi,OnshoreWind,Wind,,,1,1,0,0,40000,0,0,1.3,30
Mozambique,OnshoreWind,Wind,,,1,1,0,0,40000,0,0,1.3,30
Namibia,OnshoreWind,Wind,,,1,1,0,0,26460,0,0,1.3,30
Tanzania,OnshoreWind,Wind,,,1,1,0,0,40000,0,0,1.3,30
Zambia,OnshoreWind,Wind,,,1,1,0,0,40000,0,0,1.3,30
Zimbabwe,OnshoreWind,Wind,,,1,1,0,0,40000,0,0,1.3,30
Tanzania,ST,Geothermal,0.3,,0.05,0.05,,0.2,128400,0.0012,,3.5,30
